GSANUM,PI,PBAL,OBAL,RATE,CITY,STATE,ZIP,GSANUM,UNITS,LIEN,FDUEDATE,MDATE,ODATE,ASOFDATE,OFICO,EMPLOY,RTERM,ATERM,OTERM,GSANUM,PPOTERM,AGE,ARMFLAG,BALLFLAG,IOFLAG,IOTERM,GSOLTV,GSCOLTV,MTM_OCCLIT,GSANUM,MTM_PROPLIT,MTM_PURPLIT,MTM_PRODLIT,MTM_DOCLIT
4954138,92.41,9977.89,10000,10.625,Taylor,TX,76574,4954138,1,2,6/1/2006,5/1/2021,4/18/2006,10/1/2006,726,N,175,354,180,4954138,0,5,FIXED,Y,N,0,18.78,95,INVESTOR,4954138,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4954184,98.08,9983.29,10000,11.375,Houston,TX,77047,4954184,1,2,6/1/2006,5/1/2021,4/27/2006,10/1/2006,682,N,175,355,180,4954184,0,5,FIXED,Y,N,0,15.08,95,INVESTOR,4954184,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4954185,98.08,9983.29,10000,11.375,Houston,TX,77021,4954185,1,2,6/1/2006,5/1/2021,4/27/2006,10/1/2006,702,N,175,355,180,4954185,0,5,FIXED,Y,N,0,16.37,95,INVESTOR,4954185,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,NINA/NO DOC
4959215,110.62,9980.24,10000,13,Houston,TX,77048,4959215,1,2,5/1/2006,4/1/2021,3/29/2006,10/1/2006,745,N,174,352,180,4959215,0,6,FIXED,Y,N,0,12.35,90,INVESTOR,4959215,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4959217,110.62,9980.24,10000,13,Houston,TX,77016,4959217,1,2,5/1/2006,4/1/2021,3/29/2006,10/1/2006,745,N,174,352,180,4959217,0,6,FIXED,Y,N,0,13.33,90,INVESTOR,4959217,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,NO RATIO
4954078,112.02,11981.71,12000,10.75,Spring,TX,77373,4954078,1,2,7/1/2006,6/1/2021,5/12/2006,10/1/2006,687,N,176,356,180,4954078,0,4,FIXED,Y,N,0,10,90,INVESTOR,4954078,PUD,RATE/TERM REFI,FIXED BALLOON 30/15,NO RATIO
4957972,131.22,12651.49,12999,11.75,Detroit,MI,48228,4957972,1,2,3/1/2006,2/1/2021,1/31/2006,10/1/2006,635,Y,172,296,180,4957972,0,8,FIXED,Y,N,0,18.57,90,INVESTOR,4957972,SINGLE FAMILY,RATE/TERM REFI,FIXED BALLOON 30/15,SIVA
4958015,150.32,14059,14085,12.5,Durham,NC,27705,4958015,1,2,4/1/2006,3/1/2021,2/27/2006,10/1/2006,730,N,173,353,180,4958015,0,7,FIXED,Y,N,0,15,95,INVESTOR,4958015,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4956363,156.13,14215.8,14240,12.875,Cleveland,OH,44138,4956363,1,2,4/1/2006,3/1/2021,2/28/2006,10/1/2006,660,N,173,353,180,4956363,0,7,FIXED,Y,N,0,20,84.2,OWNER OCCU,4956363,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958211,163.48,15569.53,15600,12.25,Kannapolis,NC,28081,4958211,1,2,4/1/2006,3/1/2021,2/10/2006,10/1/2006,720,Y,173,353,180,4958211,0,7,FIXED,Y,N,0,20,98.83,INVESTOR,4958211,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958789,169.15,10977.07,11000,18.375,Columbus,OH,43206,4958789,1,2,5/1/2006,4/1/2021,3/7/2006,10/1/2006,654,N,174,334,180,4958789,0,6,FIXED,Y,N,0,20,100,INVESTOR,4958789,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4958213,197.01,18763.3,18800,12.25,Kannapolis,NC,28081,4958213,1,2,4/1/2006,3/1/2021,2/10/2006,10/1/2006,720,Y,173,353,180,4958213,0,7,FIXED,Y,N,0,20,100,INVESTOR,4958213,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958103,179.68,17761.19,17800,11.75,Detroit,MI,48221,4958103,1,2,4/1/2006,3/1/2021,2/6/2006,10/1/2006,635,Y,173,353,180,4958103,0,7,FIXED,Y,N,0,20,99.48,INVESTOR,4958103,SINGLE FAMILY,RATE/TERM REFI,FIXED BALLOON 30/15,SIVA
4954492,181.69,17936.2,18000,11.75,Carencro,LA,70520,4954492,1,2,12/1/2005,11/1/2020,10/31/2005,10/1/2006,627,N,169,349,180,4954492,0,11,FIXED,Y,N,0,8.7,100,OWNER OCCU,4954492,SINGLE FAMILY,CASHOUT REFI,FIXED BALLOON 30/15,SISA
4954595,214.48,17780.79,17803,14.25,Lakeland,FL,33813,4954595,1,2,4/1/2006,3/1/2021,2/21/2006,10/1/2006,754,N,173,353,180,4954595,0,7,FIXED,Y,N,0,20,100,INVESTOR,4954595,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4955016,223.39,17933,17950,14.75,Winter Haven,FL,33884,4955016,1,2,5/1/2006,4/1/2021,3/16/2006,10/1/2006,691,N,174,354,180,4955016,0,6,FIXED,Y,N,0,9.97,90,INVESTOR,4955016,PUD,PURCHASE,FIXED BALLOON 30/15,NO RATIO
4958073,230.11,23280.97,24650,10.75,Land O Lakes,FL,34639,4958073,1,2,5/1/2006,4/1/2021,3/31/2006,10/1/2006,673,Y,174,266,180,4958073,0,6,FIXED,Y,N,0,9.99,95,OWNER OCCU,4958073,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4957813,236.59,22945.47,23000,12,Covington,GA,30016,4957813,1,2,3/1/2006,2/1/2021,1/24/2006,10/1/2006,760,N,172,352,180,4957813,0,8,FIXED,Y,N,0,20,95,INVESTOR,4957813,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958054,243.97,27698.72,27800,10,Lithonia,GA,30058,4958054,1,2,3/1/2006,2/1/2021,2/2/2006,10/1/2006,705,N,172,352,180,4958054,0,8,FIXED,Y,N,0,20,100,INVESTOR,4958054,CONDO,PURCHASE,FIXED BALLOON 30/15,SIVA
4954555,249.94,22965.46,23000,12.75,Streator,IL,61364,4954555,3,2,5/1/2006,4/1/2021,3/13/2006,10/1/2006,663,N,174,354,180,4954555,0,6,FIXED,Y,N,0,25,100,INVESTOR,4954555,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958435,256.35,23346.09,23380,12.875,Newport News,VA,23607,4958435,1,2,5/1/2006,4/1/2021,3/9/2006,10/1/2006,675,Y,174,354,180,4958435,0,6,FIXED,Y,N,0,20,100,INVESTOR,4958435,SINGLE FAMILY,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4958105,271.63,29899.01,30000,10.375,Lawrenceville,GA,30043,4958105,1,2,3/1/2006,2/1/2021,2/7/2006,10/1/2006,715,N,172,352,180,4958105,0,8,FIXED,Y,N,0,20,90,INVESTOR,4958105,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4956392,275.8,30929.59,31100,10.125,Colorado Springs,CO,80918,4956392,1,2,4/1/2006,3/1/2021,2/23/2006,10/1/2006,705,N,173,348,180,4956392,0,7,FIXED,Y,N,0,20,79.53,OWNER OCCU,4956392,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4958630,285.29,27656.83,27735,12,Bakersfield,CA,93305,4958630,1,2,4/1/2006,3/1/2021,2/25/2006,10/1/2006,665,Y,173,351,180,4958630,0,7,FIXED,Y,N,0,15,95,INVESTOR,4958630,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4954358,285.56,32115.02,32200,10.125,Largo,FL,33773,4954358,1,2,5/1/2006,4/1/2021,3/29/2006,10/1/2006,744,Y,174,354,180,4954358,0,6,FIXED,Y,N,0,14.99,90,INVESTOR,4954358,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4958615,290.4,19389.6,19400,17.875,Marcus Hook,PA,19061,4958615,2,2,4/1/2006,3/1/2021,2/27/2006,10/1/2006,695,N,173,353,180,4958615,0,7,FIXED,Y,N,0,20,100,INVESTOR,4958615,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4957091,308.43,29907.19,29985,12,Bakersfield,CA,93305,4957091,1,2,4/1/2006,3/1/2021,2/28/2006,10/1/2006,665,Y,173,351,180,4957091,0,7,FIXED,Y,N,0,15,90,INVESTOR,4957091,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4955553,310.17,28763.42,28800,12.625,Martinsburg,WV,25401,4955553,1,2,6/1/2006,5/1/2021,4/6/2006,10/1/2006,682,Y,175,355,180,4955553,0,5,FIXED,Y,N,0,15,57.69,INVESTOR,4955553,PUD,PURCHASE,FIXED BALLOON 30/15,SISA
4954706,310.8,30454.24,30500,11.875,Houston,TX,77083,4954706,1,2,6/1/2006,5/1/2021,4/12/2006,10/1/2006,697,N,175,355,180,4954706,0,5,FIXED,Y,N,0,25,95,OWNER OCCU,4954706,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4954716,312.19,30305.72,30350,12,Lakeland,FL,33805,4954716,1,2,6/1/2006,5/1/2021,4/25/2006,10/1/2006,759,N,175,355,180,4954716,0,5,FIXED,Y,N,0,9.98,100,OWNER OCCU,4954716,PUD,PURCHASE,FIXED BALLOON 30/15,SISA
4957865,323.05,37455.62,37600,9.75,Stevensville,MI,49127,4957865,1,2,3/1/2006,2/1/2021,1/26/2006,10/1/2006,687,N,172,352,180,4957865,0,8,FIXED,Y,N,0,20,100,OWNER OCCU,4957865,SINGLE FAMILY,CASHOUT REFI,FIXED BALLOON 30/15,FULL/ALT
4957990,342.92,30948.75,31000,13,Covington,GA,30016,4957990,1,2,4/1/2006,3/1/2021,2/2/2006,10/1/2006,762,N,173,353,180,4957990,0,7,FIXED,Y,N,0,20,95,INVESTOR,4957990,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4957995,343.05,36650.54,36750,10.75,Mesa,AZ,85207,4957995,1,2,4/1/2006,3/1/2021,2/23/2006,10/1/2006,674,N,173,353,180,4957995,0,7,FIXED,Y,N,0,15,95,INVESTOR,4957995,PUD,CASHOUT REFI,FIXED BALLOON 30/15,NO RATIO
4958274,348.79,32917.3,32980,12.375,Nampa,ID,83687,4958274,1,2,4/1/2006,3/1/2021,2/22/2006,10/1/2006,669,N,173,353,180,4958274,0,7,FIXED,Y,N,0,20,100,OWNER OCCU,4958274,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4958390,357.16,34330.96,34400,12.125,Boise,ID,83713,4958390,1,2,4/1/2006,3/1/2021,2/14/2006,10/1/2006,662,N,173,353,180,4958390,0,7,FIXED,Y,N,0,20,95,OWNER OCCU,4958390,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4958305,360.25,31949.94,32000,13.25,Salt Lake City,UT,84118,4958305,1,2,4/1/2006,3/1/2021,2/23/2006,10/1/2006,771,Y,173,353,180,4958305,0,7,FIXED,Y,N,0,25,100,INVESTOR,4958305,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4954968,363.25,37309.12,37400,11.25,Catoosa,OK,74015,4954968,2,2,4/1/2006,3/1/2021,2/28/2006,10/1/2006,778,N,173,353,180,4954968,0,7,FIXED,Y,N,0,20,99.76,INVESTOR,4954968,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958963,377.88,31856.14,31892,14,Union City,GA,30291,4958963,1,2,5/1/2006,4/1/2021,3/17/2006,10/1/2006,701,Y,174,354,180,4958963,0,6,FIXED,Y,N,0,20,90,INVESTOR,4958963,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4957543,382.6,36765.01,36850,12.125,Spring Hill,FL,34609,4957543,1,2,3/1/2006,2/1/2021,1/19/2006,10/1/2006,677,N,172,352,180,4957543,0,8,FIXED,Y,N,0,14.98,100,SECOND HOM,4957543,PUD,PURCHASE,FIXED BALLOON 30/15,NO RATIO
4956136,385.33,43335.28,43450,10.125,Land O Lakes,FL,34639,4956136,1,2,5/1/2006,4/1/2021,3/10/2006,10/1/2006,720,Y,174,354,180,4956136,0,6,FIXED,Y,N,0,19.99,90,SECOND HOM,4956136,PUD,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4954577,390.86,34673.78,34720,13.25,Alabaster,AL,35007,4954577,1,2,5/1/2006,4/1/2021,3/6/2006,10/1/2006,638,N,174,354,180,4954577,0,6,FIXED,Y,N,0,20,99.97,OWNER OCCU,4954577,PUD,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4958252,392.66,49122.82,49350,8.875,Oxford,OH,45056,4958252,1,2,3/1/2006,2/1/2021,2/9/2006,10/1/2006,646,Y,172,352,180,4958252,0,8,FIXED,Y,N,0,35,100,OWNER OCCU,4958252,SINGLE FAMILY,CASHOUT REFI,FIXED BALLOON 30/15,SISA
4958611,393.01,29200.71,29225,16,Milwaukee,WI,53206,4958611,4,2,4/1/2006,3/1/2021,2/24/2006,10/1/2006,731,Y,173,353,180,4958611,6,7,FIXED,Y,N,0,35,81.64,INVESTOR,4958611,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4956255,413.31,43288.7,43400,11,Las Vegas,NV,89108,4956255,1,2,4/1/2006,3/1/2021,2/15/2006,10/1/2006,681,N,173,353,180,4956255,0,7,FIXED,Y,N,0,20,90,OWNER OCCU,4956255,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4957913,424.31,44863.83,45000,10.875,Lawrenceville,GA,30044,4957913,1,2,3/1/2006,2/1/2021,1/27/2006,10/1/2006,718,N,172,352,180,4957913,0,8,FIXED,Y,N,0,20,100,SECOND HOM,4957913,PUD,PURCHASE,FIXED BALLOON 30/15,NO RATIO
4954823,444.25,40829.46,40880,12.75,Charlotte,NC,28262,4954823,1,2,6/1/2006,5/1/2021,4/17/2006,10/1/2006,755,N,175,355,180,4954823,0,5,FIXED,Y,N,0,25,100,OWNER OCCU,4954823,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4954094,447.23,45539.26,45600,11.375,Riverview,FL,33569,4954094,1,2,7/1/2006,6/1/2021,5/18/2006,10/1/2006,661,N,176,356,180,4954094,0,4,FIXED,Y,N,0,19.96,100,OWNER OCCU,4954094,PUD,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4955123,468.24,45866.86,45950,11.875,Wesley Chapel,FL,33543,4955123,1,2,5/1/2006,4/1/2021,3/22/2006,10/1/2006,760,N,174,354,180,4955123,0,6,FIXED,Y,N,0,14.99,100,OWNER OCCU,4955123,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4958872,470.58,30388.08,30400,18.5,West Palm Beach,FL,33404,4958872,1,2,5/1/2006,4/1/2021,3/14/2006,10/1/2006,648,N,174,354,180,4958872,0,6,FIXED,Y,N,0,20,100,INVESTOR,4958872,SINGLE FAMILY,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4958513,490.45,51387.25,51500,11,Maple Valley,WA,98038,4958513,1,2,5/1/2006,4/1/2021,3/1/2006,10/1/2006,751,N,174,354,180,4958513,0,6,FIXED,Y,N,0,10,100,OWNER OCCU,4958513,SINGLE FAMILY,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4957241,496.28,46439.23,46500,12.5,Reston,VA,20191,4957241,1,2,6/1/2006,5/1/2021,4/4/2006,10/1/2006,647,Y,175,355,180,4957241,0,5,FIXED,Y,N,0,13.03,95,OWNER OCCU,4957241,PUD,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4954560,508.86,45809.32,46000,13,Plainfield,CT,6374,4954560,2,2,3/1/2006,2/1/2021,1/31/2006,10/1/2006,756,N,172,343,180,4954560,0,8,FIXED,Y,N,0,20,95,INVESTOR,4954560,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4955075,510.71,52985.66,53100,11.125,Riverview,FL,33569,4955075,1,2,5/1/2006,4/1/2021,3/9/2006,10/1/2006,695,N,174,354,180,4955075,0,6,FIXED,Y,N,0,15,95,OWNER OCCU,4955075,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4954229,531.59,51127.29,51200,12.125,Baltimore,MD,21202,4954229,1,2,6/1/2006,5/1/2021,4/14/2006,10/1/2006,627,N,175,355,180,4954229,0,5,FIXED,Y,N,0,19.99,100,OWNER OCCU,4954229,CONDO,PURCHASE,FIXED BALLOON 30/15,SIVA
4954660,535.57,56251.22,56800,10.875,Lake Mary,FL,32746,4954660,1,2,4/1/2006,3/1/2021,2/14/2006,10/1/2006,759,N,173,336,180,4954660,0,7,FIXED,Y,N,0,20,95,OWNER OCCU,4954660,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4956097,545.17,52874,53000,12,Lehigh Acres,FL,33971,4956097,2,2,3/1/2006,2/1/2021,2/2/2006,10/1/2006,750,N,172,352,180,4956097,0,8,FIXED,Y,N,0,20,90,INVESTOR,4956097,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4954852,563.06,50840.54,50900,13,Colorado Springs,CO,80915,4954852,1,2,6/1/2006,5/1/2021,4/7/2006,10/1/2006,743,N,175,355,180,4954852,0,5,FIXED,Y,N,0,25.02,91.61,OWNER OCCU,4954852,PUD,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4957939,567.62,60041.4,60200,10.875,Twain Harte,CA,95383,4957939,1,2,3/1/2006,2/1/2021,1/27/2006,10/1/2006,718,Y,172,353,180,4957939,0,8,FIXED,Y,N,0,20,100,SECOND HOM,4957939,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4956774,576.5,66873.37,67100,9.75,Lancaster,CA,93536,4956774,1,2,4/1/2006,3/1/2021,2/8/2006,10/1/2006,719,N,173,353,180,4956774,0,7,FIXED,Y,N,0,20,95,OWNER OCCU,4956774,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958560,584.78,55189.94,55295,12.375,Saint Cloud,FL,34769,4958560,1,2,4/1/2006,3/1/2021,2/28/2006,10/1/2006,724,N,173,353,180,4958560,0,7,FIXED,Y,N,0,25,100,INVESTOR,4958560,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4958639,585.57,45884.08,45947,15.125,Albuquerque,NM,87120,4958639,1,2,5/1/2006,4/1/2021,3/24/2006,10/1/2006,710,Y,174,351,180,4958639,0,6,FIXED,Y,N,0,20,100,INVESTOR,4958639,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4954230,591.59,56899.11,56980,12.125,Orlando,FL,32835,4954230,1,2,6/1/2006,5/1/2021,4/12/2006,10/1/2006,647,N,175,355,180,4954230,0,5,FIXED,Y,N,0,20,88.89,OWNER OCCU,4954230,CONDO,PURCHASE,FIXED BALLOON 30/15,SISA
4956747,597.28,47769.53,67350,10.125,Riverview,FL,33569,4956747,1,2,5/1/2006,4/1/2021,3/30/2006,10/1/2006,802,N,174,134,180,4956747,0,6,FIXED,Y,N,0,19.99,100,OWNER OCCU,4956747,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4958058,620.01,71132.91,71400,9.875,Sutton,MA,1590,4958058,1,2,3/1/2006,2/1/2021,2/3/2006,10/1/2006,632,N,172,352,180,4958058,0,8,FIXED,Y,N,0,10,95,OWNER OCCU,4958058,SINGLE FAMILY,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
