LOANSKEY,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Originator,Primary Servicer,Deal ID,Pool ID
299551,80.00,550000.00,550000.00,0,No Insurance,N,786,Full Documentation,Y,30 Year FRM,Purchase,Single Family Residence,Primary,1,438999.00,440000.00,0.00,20070124,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Virginia,VIENNA,22180,Y,N,Jumbo,120,360,240,2337.50,2329.53,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299552,79.17,0.00,600000.00,0,No Insurance,N,761,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,475000.00,475000.00,0.00,20070119,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Maryland,SILVER SPRING,20910,Y,N,Jumbo,120,360,240,2473.96,2473.96,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299556,80.00,555000.00,555000.00,0,No Insurance,N,695,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,444000.00,444000.00,0.00,20070124,20070301,20370201,20070501,6.000,0.250,0.000,0.000,California,COVINA,91724,Y,N,Jumbo,120,360,240,2220.00,2220.00,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299557,80.00,525000.00,545000.00,0,No Insurance,N,708,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,419999.78,420000.00,0.00,20070131,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Virginia,FALLS CHURCH,22043,Y,N,Jumbo,120,360,240,2318.75,2318.75,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299559,80.00,0.00,740000.00,0,No Insurance,N,772,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,592000.00,592000.00,0.00,20070201,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Virginia,CHESAPEAKE,23322,Y,N,Jumbo,120,360,240,3145.00,3145.00,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299560,79.00,0.00,800000.00,0,No Insurance,N,701,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Condo,Primary,1,631938.90,632000.00,0.00,20070126,20070301,20370201,20070501,6.500,0.250,0.000,0.000,Virginia,SOUTH RIDING,20152,Y,N,Jumbo,120,360,240,3423.33,3422.84,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299562,42.50,0.00,1000000.00,0,No Insurance,N,682,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,424386.79,425000.00,0.00,20070125,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Nevada,RENO,89511,Y,N,Jumbo,120,360,240,2213.54,2208.74,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299563,80.00,459075.00,459075.00,0,No Insurance,N,684,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,367260.00,367260.00,0.00,20070131,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Florida,WINTER GARDEN,34787,Y,N,Conforming,120,360,240,2027.58,2027.58,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299564,80.00,0.00,265000.00,0,No Insurance,N,738,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,212000.00,212000.00,0.00,20070126,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Minnesota,ZIMMERMAN,55398,Y,N,Conforming,120,360,240,1126.25,1126.25,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299565,67.63,694950.00,700000.00,0,No Insurance,N,746,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,469585.28,470000.00,0.00,20070131,20070301,20370201,20070501,6.000,0.250,0.000,0.000,Maryland,COLUMBIA,21045,Y,N,Jumbo,120,360,240,2350.00,2347.34,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299566,80.00,0.00,900000.00,0,No Insurance,N,767,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,719634.49,720000.00,0.00,20070122,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Nevada,RENO,89511,Y,N,Jumbo,120,360,240,3825.00,3822.08,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299568,80.00,0.00,280500.00,0,No Insurance,N,782,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,224400.00,224400.00,0.00,20070131,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Maryland,RANDALLSTOWN,21133,Y,N,Conforming,120,360,240,1192.13,1192.13,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299569,79.70,0.00,670000.00,0,No Insurance,N,701,Full Documentation,N,30 Year FRM,Cash-out Refinance,Condo,Primary,1,533900.00,534000.00,0.00,20070123,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Maryland,WALDORF,20603,Y,N,Jumbo,120,360,240,2836.88,2836.34,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299570,80.00,217000.00,220000.00,0,No Insurance,N,746,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,173600.00,173600.00,0.00,20070131,20070301,20370201,20070501,6.750,0.250,0.000,0.000,North Carolina,LEXINGTON,27295,Y,N,Conforming,120,360,240,976.50,976.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299571,73.10,0.00,860000.00,0,No Insurance,N,802,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,628700.00,628700.00,0.00,20070125,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Virginia,PURCELLVILLE,20132,Y,N,Jumbo,120,360,240,3339.97,3339.97,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299572,73.88,0.00,850000.00,0,No Insurance,N,660,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,628000.00,628000.00,0.00,20070123,20070301,20370201,20070501,6.625,0.250,0.000,0.000,New Jersey,COLTS NECK,07722,Y,N,Jumbo,120,360,240,3467.08,3467.08,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299573,80.00,246452.00,247000.00,0,No Insurance,N,691,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,197161.00,197161.00,0.00,20070124,20070301,20370201,20070501,6.750,0.250,0.000,0.000,Arizona,CHANDLER,85249,Y,N,Conforming,120,360,240,1109.03,1109.03,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299575,72.44,0.00,780000.00,0,No Insurance,N,768,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,564800.00,565000.00,0.00,20070123,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Florida,TITUSVILLE,32796,Y,N,Jumbo,120,360,240,3119.27,3118.17,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299576,80.00,811500.00,811500.00,0,No Insurance,N,746,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,649168.16,649200.00,0.00,20070131,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Illinois,CRYSTAL LAKE,60012,Y,N,Jumbo,120,360,240,3584.12,3583.86,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299577,80.00,0.00,270000.00,0,No Insurance,N,762,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,216000.00,216000.00,0.00,20070126,20070301,20370201,20070501,6.375,0.250,0.000,0.000,California,HANFORD,93230,Y,N,Conforming,120,360,240,1147.50,1147.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299578,73.16,0.00,380000.00,0,No Insurance,N,694,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,278000.00,278000.00,0.00,20070124,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Oregon,PORTLAND,97220,Y,N,Conforming,120,360,240,1476.88,1476.88,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299579,72.00,0.00,750000.00,0,No Insurance,N,753,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,540000.00,540000.00,0.00,20070125,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Virginia,ANNANDALE,22003,Y,N,Jumbo,120,360,240,2812.50,2812.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299580,56.41,0.00,975000.00,0,No Insurance,N,662,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,550000.00,550000.00,0.00,20070126,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Maryland,BETHESDA,20816,Y,N,Jumbo,120,360,240,2921.88,2921.88,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299581,65.00,0.00,1370000.00,0,No Insurance,N,663,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,890500.00,890500.00,0.00,20070126,20070301,20370201,20070501,6.625,0.250,0.000,0.000,North Carolina,TERRELL,28682,Y,N,Jumbo,120,360,240,4916.30,4916.30,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299588,61.80,0.00,1618000.00,0,No Insurance,N,779,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,999950.00,999950.00,0.00,20070125,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Oregon,BEND,97702,Y,N,Jumbo,120,360,240,5312.23,5312.23,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299589,70.00,0.00,915000.00,0,No Insurance,N,778,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,618150.03,640500.00,0.00,20070130,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Maryland,BETHESDA,20817,Y,N,Jumbo,120,360,240,3335.94,3219.53,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299590,75.00,0.00,572000.00,0,No Insurance,N,663,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,429000.00,429000.00,0.00,20070126,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Maryland,LAPLATA,20646,Y,N,Jumbo,120,360,240,2368.44,2368.44,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299591,80.00,0.00,465000.00,0,No Insurance,N,801,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,372000.00,372000.00,0.00,20070126,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Georgia,ATLANTA,30306,Y,N,Conforming,120,360,240,1937.50,1937.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299593,51.56,0.00,320000.00,0,No Insurance,N,785,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,165000.00,165000.00,0.00,20070124,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Oregon,LINCOLN CITY,97367,Y,N,Conforming,120,360,240,876.56,876.56,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299595,77.18,0.00,425000.00,0,No Insurance,N,733,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Condo,Primary,1,328000.00,328000.00,0.00,20070123,20070301,20370201,20070501,6.500,0.250,0.000,0.000,Arizona,PHOENIX,85044,Y,N,Conforming,120,360,240,1776.67,1776.67,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299596,22.73,0.00,550000.00,0,No Insurance,N,794,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Condo,Primary,1,125000.00,125000.00,0.00,20061227,20070201,20370101,20070501,6.250,0.250,0.000,0.000,Maryland,EASTON,21601,Y,N,Conforming,120,360,240,651.04,651.04,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299597,80.00,0.00,380000.00,0,No Insurance,N,749,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,304000.00,304000.00,0.00,20070126,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Washington,VANCOUVER,98685,Y,N,Conforming,120,360,240,1615.00,1615.00,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299598,54.74,0.00,813000.00,0,No Insurance,N,784,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Condo,Primary,1,445000.00,445000.00,0.00,20070126,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Colorado,LITTLETON,80127,Y,N,Jumbo,120,360,240,2456.77,2456.77,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299599,80.00,427500.00,428000.00,0,No Insurance,N,676,Full Asset/Stated Income,Y,30 Year FRM,Purchase,Single Family Residence,Primary,1,342000.00,342000.00,0.00,20070130,20070301,20370201,20070501,6.875,0.250,0.000,0.000,New York,ULSTER PARK,12487,Y,N,Conforming,120,360,240,1959.38,1959.37,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299602,74.55,0.00,224000.00,0,No Insurance,N,737,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Secondary,1,166996.62,167000.00,0.00,20070131,20070301,20370201,20070501,6.500,0.250,0.000,0.000,Oregon,PORTLAND,97206,Y,N,Conforming,120,360,240,904.58,904.55,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299603,80.00,0.00,670000.00,0,No Insurance,N,706,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,536000.00,536000.00,0.00,20070125,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Virginia,ALEXANDRIA,22308,Y,N,Jumbo,120,360,240,2847.50,2847.16,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299606,80.00,0.00,256000.00,0,No Insurance,N,714,Full Asset/Stated Income,Y,30 Year FRM,Rate-Term Refinance,Condo,Primary,1,204800.00,204800.00,0.00,20070125,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Virginia,FAIRFAX,22030,Y,N,Conforming,120,360,240,1130.67,1130.67,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299608,80.00,511000.00,580000.00,0,No Insurance,N,742,Full Asset/Stated Income,N,30 Year FRM,Purchase,Condo,Primary,1,408800.00,408800.00,0.00,20070131,20070301,20370201,20070501,6.500,0.250,0.000,0.000,Virginia,BRISTOW,20136,Y,N,Conforming,120,360,240,2214.33,2214.33,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299610,77.91,0.00,430000.00,0,No Insurance,N,685,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,335000.00,335000.00,0.00,20070201,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Washington,SEATTLE,98116,Y,N,Conforming,120,360,240,1779.69,1779.69,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299613,70.00,0.00,1200000.00,0,No Insurance,N,736,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,840000.00,840000.00,0.00,20070119,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Washington,WHITE SALMON,98672,Y,N,Jumbo,120,360,240,4462.50,4462.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299614,63.36,0.00,655000.00,0,No Insurance,N,727,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,414928.00,415000.00,0.00,20070118,20070301,20370201,20070501,6.875,0.250,0.000,0.000,California,DUBLIN,94568,Y,N,Conforming,120,360,240,2377.60,2377.19,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299616,80.00,378500.00,420000.00,0,No Insurance,N,756,Full Asset/Stated Income,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,302800.00,302800.00,0.00,20070130,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Florida,WINTER PARK,32789,Y,N,Conforming,120,360,240,1577.08,1577.08,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299617,75.41,0.00,610000.00,0,No Insurance,N,793,Full Asset/Stated Income,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,460000.00,460000.00,0.00,20070123,20070301,20370201,20070501,6.875,0.250,0.000,0.000,California,TRACY,95377,Y,N,Jumbo,120,360,240,2635.42,2635.42,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299619,69.17,0.00,600000.00,0,No Insurance,N,805,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,415000.00,415000.00,0.00,20070123,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Missouri,BALLWIN,63021,Y,N,Conforming,120,360,240,2161.46,2161.46,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299621,80.00,199900.00,200000.00,0,No Insurance,N,747,Full Asset/Stated Income,N,30 Year FRM,Purchase,Condo,Primary,1,159920.00,159920.00,0.00,20070201,20070301,20370201,20070501,6.875,0.250,0.000,0.000,Florida,PEMBROKE PINES,33025,Y,N,Conforming,120,360,240,916.21,916.21,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299622,80.00,0.00,670000.00,0,No Insurance,N,692,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,536000.00,536000.00,0.00,20070119,20070301,20370201,20070501,6.625,0.250,0.000,0.000,Colorado,FORT COLLINS,80521,Y,N,Jumbo,120,360,240,2959.17,2959.17,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299623,80.00,459000.00,460000.00,0,No Insurance,N,783,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,367200.00,367200.00,0.00,20070202,20070401,20370301,20070501,6.250,0.250,0.000,0.000,District of Columbia,WASHINGTON,20024,Y,N,Conforming,120,360,240,1912.50,1912.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299624,44.80,0.00,2000000.00,0,No Insurance,N,790,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,896000.00,896000.00,0.00,20070129,20070401,20370301,20070501,6.500,0.250,0.000,0.000,Connecticut,RIDGEFIELD,06877,Y,N,Jumbo,120,360,240,4853.33,4853.33,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299625,64.82,0.00,781000.00,0,No Insurance,N,665,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,506250.00,506250.00,0.00,20070202,20070401,20370301,20070501,6.750,0.250,0.000,0.000,California,TWAIN HARTE,95383,Y,N,Jumbo,120,360,240,2847.66,2847.66,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299629,74.37,0.00,380000.00,0,No Insurance,N,750,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Planned unit developments,Primary,1,282600.00,282600.00,0.00,20070202,20070401,20370301,20070501,6.250,0.250,0.000,0.000,Colorado,STEAMBOAT SPRINGS,80487,Y,N,Conforming,120,360,240,1471.87,1471.87,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299631,48.78,205000.00,205000.00,0,No Insurance,N,798,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Investor,1,100000.00,100000.00,0.00,20070131,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Georgia,SMYRNA,30080,Y,N,Conforming,120,360,240,531.25,531.25,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299632,80.00,0.00,253000.00,0,No Insurance,N,646,Full Documentation,N,30 Year FRM,Cash-out Refinance,Planned unit developments,Primary,1,202400.00,202400.00,0.00,20070126,20070301,20370201,20070501,6.875,0.250,0.000,0.000,Oregon,SHERWOOD,97140,Y,N,Conforming,120,360,240,1159.58,1159.58,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299634,71.43,420000.00,445000.00,0,No Insurance,N,798,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,300000.00,300000.00,0.00,20070202,20070401,20370301,20070501,6.125,0.250,0.000,0.000,Texas,THE WOODLANDS,77381,Y,N,Conforming,120,360,240,1531.25,1531.25,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299636,46.95,0.00,820000.00,0,No Insurance,N,719,Full Documentation,N,30 Year FRM,Cash-out Refinance,Condo,Primary,1,385000.00,385000.00,0.00,20070201,20070401,20370301,20070501,6.250,0.250,0.000,0.000,Florida,FORT LAUDERDALE,33316,Y,N,Conforming,120,360,240,2005.21,2005.21,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299637,80.00,410000.00,410000.00,0,No Insurance,N,782,Full Documentation,N,30 Year FRM,Purchase,Planned unit developments,Primary,1,328000.00,328000.00,0.00,20070201,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Florida,BOCA RATON,33486,Y,N,Conforming,120,360,240,1742.50,1742.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299638,64.15,0.00,795000.00,0,No Insurance,N,755,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,510000.00,510000.00,0.00,20070118,20070301,20370201,20070501,6.375,0.250,0.000,0.000,California,CAMPBELL,95008,Y,N,Jumbo,120,360,240,2709.38,2709.38,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299640,78.05,0.00,615000.00,0,No Insurance,N,680,Full Asset/Stated Income,N,30 Year FRM,Rate-Term Refinance,Condo,Primary,1,480000.00,480000.00,0.00,20070122,20070301,20370201,20070501,6.500,0.250,0.000,0.000,California,MORGAN HILL,95037,Y,N,Jumbo,120,360,240,2600.00,2600.00,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
