LOANSKEY,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,LOANSKEY,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LOANSKEY,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,LOANSKEY,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Originator,Primary Servicer,Index,Initial Rate Adjustment Period,Subsequent Rate Adjustment Period,Initial Payment Adjustmen Period,Subsequent Payment Adjustment Period,LOANSKEY,First Rate Adjustment Date,First Payment Adjustment Date,Initial Periodic Cap,Subsequent Periodic Cap,Life Cap,Margin,Max Rate,Months to Next Rate Adjustment,Months to Next Pay Adjustment,Servicing Step Up,Step up Servicing Rate
274963,65,2650000,2725000,0,No Insurance,N,753,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274963,Primary,1,1722207.65,1722500,0,4/1/2005,5/1/2005,4/1/2035,1/1/2007,5.5,0.25,0.0018,274963,0,Connecticut,RIVERSIDE CT,6878,Y,N,Jumbo,60,360,300,7894.79,"7,893.45",274963,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274963,4/1/2010,5/1/2010,5,2,5,2.5,10.5,39,40,N,0
274964,45.45,0,3300000,0,No Insurance,N,753,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,274964,Primary,1,1500000,1500000,0,4/4/2005,6/1/2005,5/1/2035,1/1/2007,5,0.25,0.0018,274964,0,Connecticut,GREENWICH CT,6830,Y,N,Jumbo,60,360,300,6250,"6,250.00",274964,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274964,5/1/2010,6/1/2010,5,2,5,2.5,10,40,41,N,0
274965,63.15,1742000,1742000,0,No Insurance,N,705,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274965,Primary,1,1000000,1100000,0,3/30/2005,5/1/2005,4/1/2035,1/1/2007,4.875,0.25,0.0018,274965,0,Illinois,CHICAGO IL,60613,Y,N,Jumbo,60,360,300,4468.75,"4,062.50",274965,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274965,4/1/2010,5/1/2010,5,2,5,2.25,9.88,39,40,N,0
274966,60.33,0,1575000,0,No Insurance,N,800,Simply Signature,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,274966,Primary,1,672859.62,950171,0,12/21/2004,2/1/2005,1/1/2035,1/1/2007,5.125,0.25,0.0018,274966,0,California,MENLO PARK CA,94025,Y,N,Jumbo,60,360,300,4058.02,"2,876.33",274966,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274966,1/1/2010,2/1/2010,5,2,5,2.25,10.13,36,37,N,0
274967,72.13,1525000,1525000,0,No Insurance,N,821,Full Documentation,N,5 Year ARM,Purchase,Condo,274967,Primary,1,1099998,1100000,0,5/20/2005,7/1/2005,6/1/2035,1/1/2007,5,0.25,0.0018,274967,0,New York,NEW YORK NY,10002,Y,N,Jumbo,60,360,300,4583.33,"4,583.33",274967,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274967,6/1/2010,7/1/2010,5,2,5,2.25,10,41,42,N,0
274968,60,2495000,2495000,0,No Insurance,N,660,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274968,Primary,1,948870.28,1497000,0,11/17/2004,1/1/2005,12/1/2034,1/1/2007,5,0.25,0.0018,274968,0,Connecticut,WESTPORT CT,6880,Y,N,Jumbo,60,360,300,6237.5,"3,953.63",274968,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274968,12/1/2009,1/1/2010,5,2,5,2.5,10,35,36,N,0
274969,65.67,1675000,1675000,0,No Insurance,N,645,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,274969,Primary,1,1100000,1100000,0,4/15/2005,6/1/2005,5/1/2035,1/1/2007,5.375,0.25,0.0018,274969,0,Florida,PALM BEACH FL,33480,Y,N,Jumbo,60,360,300,4927.08,"4,927.08",274969,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274969,5/1/2010,6/1/2010,5,2,5,2.25,10.38,40,41,N,0
274974,65.09,1690000,1700000,0,No Insurance,N,726,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274974,Primary,1,1100000,1100000,0,5/26/2005,7/1/2005,6/1/2035,1/1/2007,5.375,0.25,0.0018,274974,0,Massachusetts,OSTERVILLE MA,2655,Y,N,Jumbo,60,360,300,4927.08,"4,927.08",274974,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274974,6/1/2010,7/1/2010,5,2,5,2.25,10.38,41,42,N,0
274976,65.65,2285000,2285000,0,No Insurance,N,756,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274976,Primary,1,1500000,1500000,0,5/27/2005,7/1/2005,6/1/2035,1/1/2007,5.25,0.25,0.0018,274976,0,Massachusetts,SUDBURY MA,1776,Y,N,Jumbo,60,360,300,6562.5,"6,562.50",274976,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274976,6/1/2010,7/1/2010,5,2,5,2.5,10.25,41,42,N,0
274977,79.9,809750,809750,0,No Insurance,N,703,Simply Signature,N,5 Year ARM,Purchase,Condo,274977,Primary,1,647000,647000,0,4/13/2005,6/1/2005,5/1/2035,1/1/2007,5.25,0.25,0.0018,274977,0,Florida,MIAMI FL,33131,Y,N,Jumbo,60,360,300,2830.63,"2,830.63",274977,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274977,5/1/2010,6/1/2010,5,2,5,2.25,10.25,40,41,N,0
274978,48.63,2263000,2262000,0,No Insurance,N,808,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,274978,Primary,1,1094750.49,1100000,0,11/30/2004,1/1/2005,12/1/2034,1/1/2007,5.25,0.25,0.0018,274978,0,Colorado,TELLURIDE CO,81435,Y,N,Jumbo,60,360,300,4812.5,"4,789.53",274978,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274978,12/1/2009,1/1/2010,5,2,5,2.25,10.25,35,36,N,0
274979,80,677455,677455,0,No Insurance,N,776,Full Documentation,N,5 Year ARM,Purchase,Condo,274979,Primary,1,541964,541964,0,5/26/2005,7/1/2005,6/1/2035,1/1/2007,5.25,0.25,0.0018,274979,0,Massachusetts,CAMBRIDGE MA,2141,Y,N,Jumbo,60,360,300,2371.09,"2,371.09",274979,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274979,6/1/2010,7/1/2010,5,2,5,2.25,10.25,41,42,N,0
274980,51.72,1160000,1160000,0,No Insurance,N,691,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274980,Primary,1,600000,600000,0,12/20/2004,2/1/2005,1/1/2035,1/1/2007,5.125,0.25,0.0018,274980,0,Maine,CASTINE ME,4421,Y,N,Jumbo,60,360,300,2562.5,"2,562.50",274980,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274980,1/1/2010,2/1/2010,5,2,5,2.25,10.13,36,37,N,0
274981,27.5,0,1800000,0,No Insurance,N,743,Reduced - No Income Verification,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,274981,Primary,1,495000,495000,0,12/8/2004,2/1/2005,1/1/2035,1/1/2007,5.25,0.25,0.0018,274981,0,Massachusetts,FALMOUTH MA,2540,Y,N,Jumbo,60,360,300,2165.63,"2,165.63",274981,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274981,1/1/2010,2/1/2010,5,2,5,2.25,10.25,36,37,N,0
274982,70,895000,895000,0,No Insurance,N,777,Full Documentation,N,5 Year ARM,Purchase,Condo,274982,Primary,1,626500,626500,0,1/4/2005,2/1/2005,1/1/2035,1/1/2007,5.125,0.25,0.0018,274982,0,Massachusetts,BOSTON MA,2114,Y,N,Jumbo,60,360,300,2675.68,"2,675.68",274982,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274982,1/1/2010,2/1/2010,5,2,5,2.25,10.13,36,37,N,0
274985,70,990000,990000,0,No Insurance,N,748,Simply Signature,N,5 Year ARM,Purchase,Planned unit developments,274985,Primary,1,693000,693000,0,4/26/2005,6/1/2005,5/1/2035,1/1/2007,5.25,0.25,0.0018,274985,0,California,EL DORADO HILLS CA,95762,Y,N,Jumbo,60,360,300,3031.88,"3,031.88",274985,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274985,5/1/2010,6/1/2010,5,2,5,2.25,10.25,40,41,N,0
274986,67.53,740385,743000,0,No Insurance,N,760,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274986,Primary,1,499900.23,500000,0,4/29/2005,6/1/2005,5/1/2035,1/1/2007,5.5,0.25,0.0018,274986,0,District of Columbia,WASHINGTON DC DC,20009,Y,N,Jumbo,60,360,300,2291.67,"2,291.65",274986,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274986,5/1/2010,6/1/2010,5,2,5,2.25,10.5,40,41,N,0
274988,80,795000,795000,0,No Insurance,N,746,Simply Signature,N,5 Year ARM,Purchase,Planned unit developments,274988,Primary,1,635964.68,636000,0,5/27/2005,7/1/2005,6/1/2035,1/1/2007,5.25,0.25,0.0018,274988,0,Florida,FT LAUDERDALE FL,33316,Y,N,Jumbo,60,360,300,2782.5,"2,782.42",274988,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274988,6/1/2010,7/1/2010,5,2,5,2.25,10.25,41,42,N,0
274994,80,775000,775000,0,No Insurance,N,831,Full Documentation,Y,5 Year ARM,Purchase,Condo,274994,Primary,1,620000,620000,0,5/24/2005,7/1/2005,6/1/2035,1/1/2007,5.375,0.25,0.0018,274994,0,California,LOS ANGELES CA,90021,Y,N,Jumbo,60,360,300,2777.09,"2,777.08",274994,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274994,6/1/2010,7/1/2010,5,2,5,2.25,10.38,41,42,N,0
274995,78.39,0,620000,0,No Insurance,N,730,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,274995,Primary,1,486000,486000,0,5/19/2005,7/1/2005,6/1/2035,1/1/2007,5.5,0.25,0.0018,274995,0,California,CAMARILLO CA,93012,Y,N,Jumbo,60,360,300,2227.5,"2,227.50",274995,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274995,6/1/2010,7/1/2010,5,2,5,2.25,10.5,41,42,N,0
274996,80,750000,750000,0,No Insurance,N,827,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274996,Primary,1,548958.83,600000,0,5/18/2005,7/1/2005,6/1/2035,1/1/2007,5,0.25,0.0018,274996,0,California,IRVINE CA,92614,Y,N,Jumbo,60,360,300,2500,"2,287.33",274996,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274996,6/1/2010,7/1/2010,5,2,5,2.25,10,41,42,N,0
274997,70,0,1400000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Planned unit developments,274997,Primary,1,965615.72,980000,0,5/18/2005,7/1/2005,6/1/2035,1/1/2007,5.375,0.25,0.0018,274997,0,California,SAN DIEGO CA,92128,Y,N,Jumbo,60,360,300,4389.59,"4,331.16",274997,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274997,6/1/2010,7/1/2010,5,2,5,2.25,10.38,41,42,N,0
274998,80,674900,675000,0,No Insurance,N,787,Simply Signature,N,5 Year ARM,Purchase,Single Family Residence,274998,Primary,1,539900,539900,0,5/24/2005,7/1/2005,6/1/2035,1/1/2007,5.5,0.25,0.0018,274998,0,California,COSTA MESA CA,92626,Y,N,Jumbo,60,360,300,2474.55,"2,474.54",274998,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274998,6/1/2010,7/1/2010,5,2,5,2.25,10.5,41,42,N,0
274999,57.67,0,2150000,0,No Insurance,N,732,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,274999,Primary,1,1240000,1240000,0,5/20/2005,7/1/2005,6/1/2035,1/1/2007,5.625,0.25,0.0018,274999,0,California,LOS ANGELES CA,90046,Y,N,Jumbo,60,360,300,5812.5,"5,812.50",274999,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274999,6/1/2010,7/1/2010,5,2,5,2.5,10.63,41,42,N,0
275000,66.89,1495000,1495000,0,No Insurance,N,678,Reduced - No Income Verification,N,5 Year ARM,Purchase,Planned unit developments,275000,Primary,1,989645.87,1000000,0,5/10/2005,7/1/2005,6/1/2035,1/1/2007,5.25,0.25,0.0018,275000,0,California,NEWPORT BEACH CA,92660,Y,N,Jumbo,60,360,300,4375,"4,330.44",275000,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275000,6/1/2010,7/1/2010,5,2,5,2.25,10.25,41,42,N,0
275001,59.7,0,1005000,0,No Insurance,N,717,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,275001,Primary,1,597650,600000,0,5/25/2005,7/1/2005,6/1/2035,1/1/2007,5.625,0.25,0.0018,275001,0,California,SAN DIEGO CA,92131,Y,N,Jumbo,60,360,300,2812.5,"2,802.89",275001,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275001,6/1/2010,7/1/2010,5,2,5,2.25,10.63,41,42,N,0
275002,48.98,1225000,1225000,0,No Insurance,N,768,Reduced - No Income Verification,Y,5 Year ARM,Purchase,Planned unit developments,275002,Primary,1,600000,600000,0,5/19/2005,7/1/2005,6/1/2035,1/1/2007,5.5,0.25,0.0018,275002,0,California,LA QUINTA CA,92253,Y,N,Jumbo,60,360,300,2750,"2,750.00",275002,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275002,6/1/2010,7/1/2010,5,2,5,2.25,10.5,41,42,N,0
275003,70,1070000,1070000,0,No Insurance,N,652,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,275003,Primary,1,748998.83,749000,0,5/19/2005,7/1/2005,6/1/2035,1/1/2007,5.625,0.25,0.0018,275003,0,California,MIDDLETOWN CA,95461,Y,N,Jumbo,60,360,300,3510.94,"3,510.93",275003,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275003,6/1/2010,7/1/2010,5,2,5,2.25,10.63,41,42,N,0
275004,80,742000,742000,0,No Insurance,N,783,Full Documentation,N,5 Year ARM,Purchase,Condo,275004,Primary,1,593600,593600,0,5/4/2005,7/1/2005,6/1/2035,1/1/2007,5.25,0.25,0.0018,275004,0,California,TORRANCE CA,90503,Y,N,Jumbo,60,360,300,2597,"2,597.00",275004,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275004,6/1/2010,7/1/2010,5,2,5,2.25,10.25,41,42,N,0
275005,40.1,1246990,1246990,0,No Insurance,N,788,Simply Signature,N,5 Year ARM,Purchase,Planned unit developments,275005,Primary,1,500000,500000,0,5/16/2005,7/1/2005,6/1/2035,1/1/2007,5.75,0.25,0.0018,275005,0,California,IRVINE CA,92620,Y,N,Jumbo,60,360,300,2395.84,"2,395.83",275005,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275005,6/1/2010,7/1/2010,5,2,5,2.25,10.75,41,42,N,0
275007,50.57,0,1325000,0,No Insurance,N,727,Reduced - No Income Verification,Y,5 Year ARM,Cash-out Refinance,Condo,275007,Primary,1,670000,670000,0,5/3/2005,7/1/2005,6/1/2035,1/1/2007,5.625,0.25,0.0018,275007,0,California,PACIFIC PALISADES CA,90272,Y,N,Jumbo,60,360,300,3140.63,"3,140.63",275007,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275007,6/1/2010,7/1/2010,5,2,5,2.25,10.63,41,42,N,0
275008,60,0,1200000,0,No Insurance,N,759,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,275008,Primary,1,720000,720000,0,5/12/2005,7/1/2005,6/1/2035,1/1/2007,5.5,0.25,0.0018,275008,0,California,VENICE CA,90291,Y,N,Jumbo,60,360,300,3300,"3,300.00",275008,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275008,6/1/2010,7/1/2010,5,2,5,2.25,10.5,41,42,N,0
275009,70,2125000,2150000,0,No Insurance,N,763,Reduced - No Income Verification,N,5 Year ARM,Purchase,Condo,275009,Primary,1,1486106.67,1487500,0,5/10/2005,7/1/2005,6/1/2035,1/1/2007,5.5,0.25,0.0018,275009,0,California,LOS ANGELES CA,90049,Y,N,Jumbo,60,360,300,6817.71,"6,812.18",275009,1,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275009,6/1/2010,7/1/2010,5,2,5,2.5,10.5,41,42,N,0
275010,78,610000,610000,0,No Insurance,N,663,Simply Signature,N,5 Year ARM,Purchase,Planned unit developments,275010,Primary,1,475798.92,475800,0,5/12/2005,7/1/2005,6/1/2035,1/1/2007,5.625,0.25,0.0018,275010,0,California,CORONA CA,92883,Y,N,Jumbo,60,360,300,2230.32,"2,230.31",275010,1,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275010,6/1/2010,7/1/2010,5,2,5,2.25,10.63,41,42,N,0
275011,29.52,0,2100000,0,No Insurance,N,727,Full Documentation,Y,5 Year ARM,Cash-out Refinance,Single Family Residence,275011,Primary,1,619999.5,620000,0,5/12/2005,7/1/2005,6/1/2035,1/1/2007,5.625,0.25,0.0018,275011,0,California,SUNSET BEACH CA,90742,Y,N,Jumbo,60,360,300,2906.25,"2,906.25",275011,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275011,6/1/2010,7/1/2010,5,2,5,2.25,10.63,41,42,N,0
275012,80,613000,613000,0,No Insurance,N,789,Simply Signature,N,5 Year ARM,Purchase,Single Family Residence,275012,Primary,1,490237.53,490400,0,5/20/2005,7/1/2005,6/1/2035,1/1/2007,5.375,0.25,0.0018,275012,0,California,VAN NUYS CA,91406,Y,N,Jumbo,60,360,300,2196.59,"2,195.87",275012,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,275012,6/1/2010,7/1/2010,5,2,5,2.25,10.38,41,42,N,0
