GSANUM,ABSDELQ,ACAP,ACTBAL,AGE,APPR,ARMFLAG,ASOFDATE,ATERM,BALLFLAG,GSANUM,CITY,DTI,EMPLOY,FACAP,FDUEDATE,FHFLAG,FICO,FPCDT,FRADJPER,GSANUM,FRCDT,FRECAST,GROUP,GS_INDEXLIT,GS_PPLIT,GSOLTV,INCOME,IOFLAG,IOTERM,GSANUM,IRATE,LCAP,LIEN,LPMIFEE,LPMIFLAG,MARGIN,MAXRATE,MDATE,MICOLIT,MICOV,MIFLAG,MINOPI,MINRATE,GSANUM,MTM_DOCLIT,MTM_OCCLIT,MTM_ORIGINATOR,MTM_PRODLIT,MTM_PROPLIT,GSANUM,MTM_PURPLIT,MTR,NEGAMFLAG,NEGAMLIMIT,NPCDT,NRATE,NRCDT,OATERM,OBAL,GSANUM,ODATE,OPI,ORATE,OTERM,PBAL,PCAP,PDATE,PI,PPOFLAG,PPOTERM,PRICE,GSANUM,RADJPER,RATE,RECAST,RTERM,SCHEDBAL,MTM_SERVICER,SILENT,SPCOLTV,SRLIEN,STATE,SUBLIEN,GSANUM,TRATE,TTERM,UNITS,ZIP
6734369,CURRENT,1,112500,1,150000,ARM,3/1/2007,359,N,6734369,NEW HAVEN,18.63,N,2,3/1/2007,N,588,3/1/2012,60,6734369,2/1/2012,,GROUP2,6ML,5PER,75,8520,N,0,6734369,,6,1,0,N,3.65,12.9,2/1/2037,,0,N,,6.9,6734369,FULL DOC,OWNER OCCUPIED,OTHER,5 YR ARM,CONDO,6734369,CASHOUT REFI,59,N,0,3/1/2012,6.39,2/1/2012,360,112500,6734369,1/26/2007,740.93,6.9,360,112405.95,,2/1/2007,740.93,Y,36,0,6734369,6,6.9,,359,112405.95,AVELO,N,75,0,CT,0,6734369,,0,1,6512
6734370,CURRENT,1,194850,1,216500,ARM,3/1/2007,479,Y,6734370,JACKSONVILLE,45.3,N,2,3/1/2007,N,638,3/1/2009,24,6734370,2/1/2009,,GROUP1,6ML,5PER,90,2782,N,0,6734370,,6,1,0,N,4.25,13.5,2/1/2037,,0,N,,7.5,6734370,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM BALLOON 40/30,PUD,6734370,CASHOUT REFI,23,N,0,3/1/2009,6.99,2/1/2009,480,194850,6734370,1/18/2007,1282.25,7.5,360,194785.56,,2/1/2007,1282.25,Y,12,0,6734370,6,7.5,,359,194785.56,AVELO,N,90,0,FL,0,6734370,,0,1,32210
6734371,CURRENT,1,408000,1,480000,ARM,3/1/2007,479,Y,6734371,WOODBRIDGE,45.9,Y,2,3/1/2007,N,600,3/1/2010,36,6734371,2/1/2010,,GROUP1,6ML,2PER,85,10500,N,0,6734371,,6,1,0,N,4.25,13.5,2/1/2037,,0,N,,7.5,6734371,STATED DOC,OWNER OCCUPIED,OTHER,3 YR ARM BALLOON 40/30,PUD,6734371,CASHOUT REFI,35,N,0,3/1/2010,6.99,2/1/2010,480,408000,6734371,1/11/2007,2684.93,7.5,360,407865.07,,2/1/2007,2684.93,Y,24,0,6734371,6,7.5,,359,407865.07,AVELO,N,85,0,VA,0,6734371,,0,1,22193
6734372,CURRENT,1,161215,1,171000,ARM,3/1/2007,0,N,6734372,TUCSON,46.43,Y,2,3/1/2007,N,626,3/1/2009,24,6734372,2/1/2009,,GROUP1,6ML,5PER,95,3500,Y,60,6734372,,6,1,0,N,5.6,14.85,2/1/2037,,0,N,,8.85,6734372,STATED DOC,OWNER OCCUPIED,OTHER,2 YR ARM IO,PUD,6734372,PURCHASE,23,N,0,3/1/2009,8.34,2/1/2009,360,161215,6734372,1/8/2007,1188.96,8.85,360,161215,,2/1/2007,1188.96,Y,24,169700,6734372,6,8.85,,359,161215,AVELO,N,95,0,AZ,0,6734372,,0,1,85745
6734373,CURRENT,0,142000,1,145000,FIXED,3/1/2007,479,Y,6734373,AVON,54.28,N,0,3/1/2007,N,705,00/00/0000,0,6734373,00/00/0000,,GROUP1,,5PER,97.93,5724,N,0,6734373,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734373,FULL DOC,OWNER OCCUPIED,OTHER,FIXED BALLOON 40/30,SINGLE FAMILY,6734373,CASHOUT REFI,0,N,0,00/00/0000,7.64,00/00/0000,480,142000,6734373,1/19/2007,1003.36,8.15,360,141961.06,,2/1/2007,1003.36,Y,36,0,6734373,0,8.15,,359,141961.06,AVELO,N,97.93,0,IN,0,6734373,,0,1,46123
6734375,CURRENT,1,93500,1,110000,ARM,3/1/2007,479,Y,6734375,JACKSONVILLE,31.94,Y,2,3/1/2007,N,709,3/1/2010,36,6734375,2/1/2010,,GROUP1,6ML,5PER,85,6500,N,0,6734375,,6,1,0,N,5.9,15.15,2/1/2037,,0,N,,9.15,6734375,STATED DOC,INVESTOR,OTHER,3 YR ARM BALLOON 40/30,SINGLE FAMILY,6734375,CASHOUT REFI,35,N,0,3/1/2010,8.64,2/1/2010,480,93500,6734375,2/1/2007,732.04,9.15,360,93480.9,,2/1/2007,732.04,Y,36,0,6734375,6,9.15,,359,93480.9,AVELO,N,85,0,FL,0,6734375,,0,1,32254
6734376,CURRENT,1,296000,1,370000,ARM,3/1/2007,0,N,6734376,DES PLAINES,49.63,N,2,3/1/2007,N,655,3/1/2009,24,6734376,2/1/2009,,GROUP1,6ML,NA,80,11333,Y,60,6734376,,6,1,0,N,5.5,15.35,2/1/2037,,0,N,,9.35,6734376,STATED DOC,OWNER OCCUPIED,OTHER,2 YR ARM IO,SINGLE FAMILY,6734376,CASHOUT REFI,23,N,0,3/1/2009,8.84,2/1/2009,360,296000,6734376,1/23/2007,2306.33,9.35,360,296000,,2/1/2007,2306.33,N,0,0,6734376,6,9.35,,359,296000,AVELO,N,100,0,IL,74000,6734376,,0,1,60016
6734377,CURRENT,0,74000,1,370000,FIXED,3/1/2007,359,N,6734377,DES PLAINES,41.47,N,0,3/1/2007,N,655,00/00/0000,0,6734377,00/00/0000,,GROUP1,,NA,20,11333,N,0,6734377,,0,2,0,N,0,0,2/1/2037,,0,N,,0,6734377,STATED DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734377,CASHOUT REFI,0,N,0,00/00/0000,12.04,00/00/0000,360,74000,6734377,1/23/2007,792.64,12.55,360,73981.28,,2/1/2007,792.64,N,0,0,6734377,0,12.55,,359,73981.28,AVELO,N,100,296000,IL,0,6734377,,0,1,60016
6661778,CURRENT,1,135000,3,135000,ARM,3/1/2007,0,N,6661778,SUFFOLK,27.66,N,2,1/1/2007,Y,661,1/1/2010,36,6661778,12/1/2009,,GROUP1,6ML,2PER,100,3885,Y,60,6661778,,6,1,0,N,4.74,13.99,12/1/2036,,0,N,,7.99,6661778,FULL DOC,OWNER OCCUPIED,OTHER,3 YR ARM IO,SINGLE FAMILY,6661778,PURCHASE,33,N,0,1/1/2010,7.48,12/1/2009,360,135000,6661778,11/17/2006,898.88,7.99,360,134999.99,,1/1/2007,898.88,Y,24,135000,6661778,6,7.99,,357,134999.99,AVELO,N,100,0,VA,0,6661778,,0,1,23434
6734378,CURRENT,0,86000,1,126000,FIXED,3/1/2007,359,N,6734378,GAINESVILLE,41.8,N,0,3/1/2007,N,564,00/00/0000,0,6734378,00/00/0000,,GROUP2,,1PER,68.25,2034,N,0,6734378,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734378,FULL DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734378,CASHOUT REFI,0,N,0,00/00/0000,9.34,00/00/0000,360,86000,6734378,1/25/2007,745.2,9.85,360,85960.72,,2/1/2007,745.2,Y,24,0,6734378,0,9.85,,359,85960.72,AVELO,N,68.25,0,GA,0,6734378,,0,1,30507
6734380,CURRENT,1,494000,1,520000,ARM,3/1/2007,479,Y,6734380,BOWIE,46.67,N,2,3/1/2007,N,604,3/1/2010,36,6734380,2/1/2010,,GROUP2,6ML,NA,95,10251,N,0,6734380,,6,1,0,N,5.8,15.05,2/1/2037,,0,N,,9.05,6734380,FULL DOC,OWNER OCCUPIED,OTHER,3 YR ARM BALLOON 40/30,CONDO,6734380,CASHOUT REFI,35,N,0,3/1/2010,8.54,2/1/2010,480,494000,6734380,1/19/2007,3829.55,9.05,360,493896.03,,2/1/2007,3829.55,N,0,0,6734380,6,9.05,,359,493896.03,AVELO,N,95,0,MD,0,6734380,,0,1,20720
6734381,CURRENT,1,175000,1,195000,ARM,3/1/2007,479,Y,6734381,GREENBRIER,52.42,Y,2,3/1/2007,N,627,3/1/2009,24,6734381,2/1/2009,,GROUP1,6ML,5PER,89.74,4133,N,0,6734381,,6,1,0,N,3.55,12.8,2/1/2037,,0,N,,6.8,6734381,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6734381,CASHOUT REFI,23,N,0,3/1/2009,6.29,2/1/2009,480,175000,6734381,1/26/2007,1062.18,6.8,360,174929.49,,2/1/2007,1062.18,Y,24,0,6734381,6,6.8,,359,174929.49,AVELO,N,89.74,0,TN,0,6734381,,0,1,37073
6734382,CURRENT,1,84060,1,100000,ARM,3/1/2007,479,Y,6734382,GAINESVILLE,48.41,N,2,3/1/2007,N,639,3/1/2010,36,6734382,2/1/2010,,GROUP1,6ML,5PER,90,5488,N,0,6734382,,6,1,0,N,5.45,14.7,2/1/2037,,0,N,,8.7,6734382,FULL DOC,INVESTOR,OTHER,3 YR ARM BALLOON 40/30,SINGLE FAMILY,6734382,PURCHASE,35,N,0,3/1/2010,8.19,2/1/2010,480,84060,6734382,1/29/2007,629.06,8.7,360,84040.38,,2/1/2007,629.06,Y,24,93400,6734382,6,8.7,,359,84040.38,AVELO,N,90,0,FL,0,6734382,,0,1,32641
6734383,CURRENT,0,137750,1,146000,FIXED,3/1/2007,359,N,6734383,PORT RICHEY,41.87,N,0,3/1/2007,N,664,00/00/0000,0,6734383,00/00/0000,,GROUP1,,5PER,94.35,2111,N,0,6734383,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734383,FULL DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734383,CASHOUT REFI,0,N,0,00/00/0000,6.94,00/00/0000,360,137750,6734383,1/5/2007,958.46,7.45,360,137646.74,,2/1/2007,958.46,Y,36,0,6734383,0,7.45,,359,137646.74,AVELO,N,94.35,0,FL,0,6734383,,0,1,34668
6734384,CURRENT,1,191797.63,1,240000,ARM,3/1/2007,359,N,6734384,OCOEE,39.9,N,2,3/1/2007,N,723,3/1/2009,24,6734384,2/1/2009,,GROUP1,6ML,5PER,80,8119,N,0,6734384,,6,1,0,N,2.45,11.7,2/1/2037,,0,N,,5.7,6734384,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM,PUD,6734384,CASHOUT REFI,23,N,0,3/1/2009,5.19,2/1/2009,360,192000,6734384,1/18/2007,1114.37,5.7,360,191797.63,,3/1/2007,1114.37,Y,24,0,6734384,6,5.7,,359,191797.63,AVELO,N,80,0,FL,0,6734384,,0,1,34761
6734385,CURRENT,0,400500,1,445000,FIXED,3/1/2007,359,N,6734385,PRESTON,44.42,Y,0,3/1/2007,N,715,00/00/0000,0,6734385,00/00/0000,,GROUP1,,5PER,90,14000,N,0,6734385,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734385,FULL DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734385,CASHOUT REFI,0,N,0,00/00/0000,5.84,00/00/0000,360,400500,6734385,1/23/2007,2492.05,6.35,360,400127.26,,2/1/2007,2492.05,Y,36,0,6734385,0,6.35,,359,400127.26,AVELO,N,90,0,CT,0,6734385,,0,1,6365
6734386,CURRENT,0,119700,1,128000,FIXED,3/1/2007,479,Y,6734386,PAHOKEE,38.52,N,0,3/1/2007,N,666,00/00/0000,0,6734386,00/00/0000,,GROUP1,,5PER,93.52,4471,N,0,6734386,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734386,FULL DOC,OWNER OCCUPIED,OTHER,FIXED BALLOON 40/30,SINGLE FAMILY,6734386,CASHOUT REFI,0,N,0,00/00/0000,6.98,00/00/0000,480,119700,6734386,1/5/2007,786.83,7.49,360,119660.3,,2/1/2007,786.83,Y,36,0,6734386,0,7.49,,359,119660.3,AVELO,N,93.52,0,FL,0,6734386,,0,1,33476
6661797,CURRENT,1,252590.66,2,266000,ARM,3/1/2007,478,Y,6661797,OAKDALE,42.55,N,2,2/1/2007,N,580,2/1/2009,24,6661797,1/1/2009,,GROUP1,6ML,5PER,95,4254,N,0,6661797,,6,1,0,N,5.45,14.97,1/1/2037,,0,N,,8.97,6661797,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6661797,CASHOUT REFI,22,N,0,2/1/2009,8.46,1/1/2009,480,252700,6661797,12/13/2006,1943.4,8.97,360,252590.66,,3/1/2007,1943.4,Y,24,0,6661797,6,8.97,,358,252590.66,AVELO,N,95,0,CT,0,6661797,,0,1,6370
6734387,CURRENT,1,489250,1,515000,ARM,3/1/2007,0,N,6734387,LORTON,45.77,N,2,3/1/2007,N,650,3/1/2010,36,6734387,2/1/2010,,GROUP2,6ML,2PER,95,5656,Y,60,6734387,,6,1,0,N,4.2,13.45,2/1/2037,,0,N,,7.45,6734387,FULL DOC,OWNER OCCUPIED,OTHER,3 YR ARM IO,PUD,6734387,CASHOUT REFI,35,N,0,3/1/2010,6.94,2/1/2010,360,489250,6734387,1/26/2007,3037.43,7.45,360,489250,,2/1/2007,3037.43,Y,24,0,6734387,6,7.45,,359,489250,AVELO,N,95,0,VA,0,6734387,,0,1,22079
6734388,CURRENT,0,129886.97,1,222000,FIXED,3/1/2007,359,N,6734388,MECHANICSVILLE,47.68,N,0,3/1/2007,N,795,00/00/0000,0,6734388,00/00/0000,,GROUP1,,2PER,59.09,4421,N,0,6734388,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734388,FULL DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734388,PURCHASE,0,N,0,00/00/0000,6.19,00/00/0000,360,130000,6734388,1/16/2007,838.86,6.7,360,129886.97,,3/1/2007,838.86,Y,24,220000,6734388,0,6.7,,359,129886.97,AVELO,N,59.09,0,VA,0,6734388,,0,1,23111
6734389,CURRENT,1,134662,1,142000,ARM,3/1/2007,479,Y,6734389,WILLOWBROOK,40.82,N,2,3/1/2007,N,585,3/1/2009,24,6734389,2/1/2009,,GROUP1,6ML,NA,94.83,3225,N,0,6734389,,6,1,0,N,5.25,14.95,2/1/2037,,0,N,,8.95,6734389,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM BALLOON 40/30,CONDO,6734389,CASHOUT REFI,23,N,0,3/1/2009,8.44,2/1/2009,480,134662,6734389,1/10/2007,1033.55,8.95,360,134632.8,,2/1/2007,1033.55,N,0,0,6734389,6,8.95,,359,134632.8,AVELO,N,94.83,0,IL,0,6734389,,0,1,60527
6734390,CURRENT,0,206167,1,260000,FIXED,3/1/2007,359,N,6734390,NORTH PORT,16.17,N,0,3/1/2007,N,696,00/00/0000,0,6734390,00/00/0000,,GROUP1,,5PER,79.3,12000,N,0,6734390,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734390,STATED DOC,INVESTOR,OTHER,FIXED,SINGLE FAMILY,6734390,CASHOUT REFI,0,N,0,00/00/0000,7.24,00/00/0000,360,206167,6734390,1/19/2007,1477.01,7.75,360,206021.49,,2/1/2007,1477.01,Y,36,0,6734390,0,7.75,,359,206021.49,AVELO,N,79.3,0,FL,0,6734390,,0,1,34286
6734391,CURRENT,1,280000,1,350000,ARM,3/1/2007,359,N,6734391,CHICAGO,47.53,N,2,3/1/2007,N,681,3/1/2009,24,6734391,2/1/2009,,GROUP1,6ML,NA,80,8850,N,0,6734391,,6,1,0,N,4.74,13.99,2/1/2037,,0,N,,7.99,6734391,STATED DOC,OWNER OCCUPIED,OTHER,2 YR ARM,SINGLE FAMILY,6734391,CASHOUT REFI,23,N,0,3/1/2009,7.48,2/1/2009,360,280000,6734391,1/17/2007,2052.59,7.99,360,279811.74,,2/1/2007,2052.59,N,0,0,6734391,6,7.99,,359,279811.74,AVELO,N,100,0,IL,70000,6734391,,0,1,60639
6734392,CURRENT,0,70000,1,350000,FIXED,3/1/2007,359,N,6734392,CHICAGO,47.53,N,0,3/1/2007,N,681,00/00/0000,0,6734392,00/00/0000,,GROUP1,,NA,20,8850,N,0,6734392,,0,2,0,N,0,0,2/1/2037,,0,N,,0,6734392,STATED DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734392,CASHOUT REFI,0,N,0,00/00/0000,10.89,00/00/0000,360,70000,6734392,1/17/2007,687.87,11.4,360,69977.13,,2/1/2007,687.87,N,0,0,6734392,0,11.4,,359,69977.13,AVELO,N,100,280000,IL,0,6734392,,0,1,60639
6734393,CURRENT,0,137750,1,145000,FIXED,3/1/2007,479,Y,6734393,MERIDEN,46.64,N,0,3/1/2007,N,640,00/00/0000,0,6734393,00/00/0000,,GROUP1,,5PER,95,2919,N,0,6734393,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734393,FULL DOC,OWNER OCCUPIED,OTHER,FIXED BALLOON 40/30,2 FAMILY,6734393,CASHOUT REFI,0,N,0,00/00/0000,7.99,00/00/0000,480,137750,6734393,1/26/2007,1009.84,8.5,360,137715.89,,2/1/2007,1009.84,Y,36,0,6734393,0,8.5,,359,137715.89,AVELO,N,95,0,CT,0,6734393,,0,2,6450
6734394,CURRENT,1,258850,1,299000,ARM,3/1/2007,0,N,6734394,RICHMOND,48.17,N,2,3/1/2007,N,628,3/1/2010,36,6734394,2/1/2010,,GROUP1,6ML,2PER,86.57,3770,Y,60,6734394,,6,1,0,N,3.74,12.99,2/1/2037,,0,N,,6.99,6734394,FULL DOC,OWNER OCCUPIED,OTHER,3 YR ARM IO,SINGLE FAMILY,6734394,CASHOUT REFI,35,N,0,3/1/2010,6.48,2/1/2010,360,258850,6734394,1/5/2007,1507.8,6.99,360,258850,,2/1/2007,1507.8,Y,24,0,6734394,6,6.99,,359,258850,AVELO,N,86.57,0,VA,0,6734394,,0,1,23229
6734395,CURRENT,1,232000,1,290000,ARM,3/1/2007,0,N,6734395,MANASSAS,49.59,N,2,3/1/2007,N,615,3/1/2010,36,6734395,2/1/2010,,GROUP1,6ML,2PER,80,4583,Y,60,6734395,,6,1,0,N,4.05,13.3,2/1/2037,,0,N,,7.3,6734395,STATED DOC,OWNER OCCUPIED,OTHER,3 YR ARM IO,CONDO,6734395,CASHOUT REFI,35,N,0,3/1/2010,6.79,2/1/2010,360,232000,6734395,1/9/2007,1411.33,7.3,360,232000,,2/1/2007,1411.33,Y,24,0,6734395,6,7.3,,359,232000,AVELO,N,80,0,VA,0,6734395,,0,1,20109
6734398,CURRENT,1,102150,1,115000,ARM,3/1/2007,359,N,6734398,NASHVILLE,34.04,N,2,3/1/2007,Y,560,3/1/2009,24,6734398,2/1/2009,,GROUP1,6ML,5PER,90,3368,N,0,6734398,,6,1,0,N,6.65,15.9,2/1/2037,,0,N,,9.9,6734398,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM,SINGLE FAMILY,6734398,PURCHASE,23,N,0,3/1/2009,9.39,2/1/2009,360,102150,6734398,1/23/2007,888.9,9.9,360,102103.84,,2/1/2007,888.9,Y,24,113500,6734398,6,9.9,,359,102103.84,AVELO,N,90,0,TN,0,6734398,,0,1,37216
6734399,CURRENT,0,188715.77,1,270000,FIXED,3/1/2007,359,N,6734399,FORT MYERS,48.02,N,0,3/1/2007,N,645,00/00/0000,0,6734399,00/00/0000,,GROUP1,,5PER,70,3500,N,0,6734399,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6734399,STATED DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734399,CASHOUT REFI,0,N,0,00/00/0000,6.94,00/00/0000,360,189000,6734399,1/24/2007,1315.05,7.45,360,188858.32,,4/1/2007,1315.05,Y,36,0,6734399,0,7.45,,359,188858.32,AVELO,N,70,0,FL,0,6734399,,0,1,33905
